feature,type
gesetzgeber,elite_pol
finanzinvestor,elite_eco
cheflobbyist,elite_eco
finanzspekulant,elite_eco
spekulant,elite_eco
großaktionär,elite_eco
monopolist,elite_eco
kartell,elite_eco
kartelle,elite_eco
aktionär,elite_eco
großunternehmen,elite_eco
mainstreammedium,elite_medien
kapitalist,elite_eco
kapitalisten,elite_eco
vermögenskonzentration,elite_eco
nepotismus,elite_noneg
oligarchie,elite_noneg
oligarchen,elite_noneg
zentralorgan,elite_pol
merkeldeutschland,elite_pol
staatsoberhaupt,elite_pol
gesinnungsstaat,elite_noneg
einheitspartei,elite_pol
medienmacht,elite_medien
marktlogik,elite_eco
moloch,elite_noneg
sklavenhalter,elite_eco
finanzlobby,elite_eco
parteienlandschaft,elite_pol
kaderpartei,elite_noneg
medienaktivist,elite_medien
kartellpartei,elite_noneg
wirtschaftslobby,elite_eco
redaktionsstube,elite_medien
führungsperson,elite_pol
klientelismus,elite_noneg
staatspropaganda,elite_noneg
machtbasis,elite_pol
media,elite_medien
staatenbund,elite_pol
bürokrat,elite_noneg
herrschend,elite_pol
identitätspolitik,elite_neg
europolitik,elite_pol
interessenspolitik,elite_pol
scharlatane,elite_noneg
politmedien,elite_medien
marktradikalismus,elite_noneg
staatsapparat,elite_pol
clique,elite_pol
haltungsjournalismus,elite_medien
normenklatura,elite_pol
normenklatur,elite_pol
zentralstaat,elite_pol
behördenversagen,elite_noneg
unrechtsherschaft,elite_noneg
internetkonzern,elite_eco
datenkrake,elite_noneg
marktmacht,elite_eco
lobby,elite_eco
lobbyist, elite_eco
lobbying, elite_eco
lobbyismus,elite_eco
klientelpolitik,elite_noneg
abgeordneter,elite_pol
arbeitsminister,elite_pol
außenminister,elite_pol
ausländerbehörde,elite_pol
bamf,elite_pol
berlin,elite_pol
berliner,elite_pol
behörden,elite_pol
bildungsministerin,elite_pol
brüssel,elite_pol
brüseller,elite_pol
brüssels,elite_pol
bund,elite_pol
bundesagentur,elite_pol
bundesamt,elite_pol
bundesarbeitsministerium,elite_pol
bundesaußenminister,elite_pol
bundesinnenminister,elite_pol
bundesinnenministerium,elite_pol
bundesfinanzminister,elite_pol
bundesjustizminister,elite_pol
bundesjustizministerium,elite_pol
bundeskanzler,elite_pol
